target,source,flow
03F4232N,03F3743N,27
01F3696N,03F0301N,2
01F2322N,03F2306S,1
01F2322N,01F1389N,3
01F0155S,03F0648S,1
01H0305S,01F0233N,1
03F1128S,03F2129S,8
03F2129S,03F3670S,10
03F2747S,03F3445S,1
03F3101S,03F4232S,11
03F2194N,03F2153N,188
01F3561S,01F3686S,12
03F2125N,03F2125N,1886
03F1779N,01H0579N,3
01H0163S,01F0509N,1
01F3460S,03F3854S,3
03F1710S,03F2447S,1
03F1633S,03F1991S,40
03F0559S,03F1651S,25
01F0880S,01F2249S,5
03A0015S,01F1465S,1
01F0509S,03F2100S,4
03F0698S,03F2447S,2
03F0961N,03F0150N,15
01F2483N,01F2011N,22
01F2249N,01F0155S,1
03F2231N,03F0498N,1
01F0248S,03F0217N,2
01F3525N,01F0633N,1
01F3590N,01F0584N,3
03F3496N,01F2156N,1
03F3854N,01F2322N,5
01H0305S,01F3286S,2
01F0293S,01F3590S,5
01F0928S,03F2261S,6
01F2674S,03F4018S,4
01F0061S,01F0928S,26
01F1621N,03F0846N,3
03F4232N,03F1128N,2
01H0610S,01F0928S,8
03F2129S,03F3743S,66
05F0309N,01F0248S,74
01F2011N,03F1215N,6
01F1802N,01F1292N,8
03F0648N,03F0525S,1
03F3916N,03F1395N,1
03F2235S,03F4142S,2
01F0467S,03F1779S,3
01F0633S,03F2152S,3
01F1906S,01F3185S,24
01F2674N,01H0271N,1
03F0783S,03F2415S,1
01F3185N,01F0880N,4
01H0206S,01H0206S,238
03F1633S,01F2156S,5
03F2923N,03F0150N,1
03F2100S,03F2985S,13
03F3211S,01F3252S,3
03F2153N,03F1332N,4
03F0394S,03F2129S,21
01F3696N,03F2747N,2
01F3252N,01F2089N,17
01F3460N,03F2709N,1
01F0509S,03F1051S,9
03F0217S,01F0664S,2
03F0525S,01F3019S,1
03F1779N,03F0525N,15
03F2447N,03F0961N,1
01F3676N,03F1991S,1
01F3398N,01F2425N,2
03F3670N,01F3083N,5
03F0140N,03F0054N,32
01F2674S,01F2866S,117
03F0559S,03F0961S,67
01F0750N,01F0256N,36
01F0532S,03F1485S,3
05F0287N,03F1395S,2
01F3676N,03F2985N,1
01F0584N,03F0394N,62
01F1774N,01F1960S,1
01F0578S,03F2985S,1
03F3307N,01F0233N,1
03F0447N,01F0293N,15
01F1664N,01H0579N,20
03F1860N,03F0961N,6
03F2614N,03F0447N,7
01F3286N,03F0140N,1
01F2425N,01F0750N,4
03F2194S,01F2514S,2
03F1860S,01F3366S,4
03F2235S,03F4018S,2
03F2078N,03F1779N,98
01F3696N,03F2415N,5
03F2447N,03F2336N,9
03F2194S,01F3083S,1
01F3227N,01H0579N,2
03F0648N,03F0116N,1
03F0525N,03F0301N,337
01F3083N,01F0880N,1
01F0099S,01F0578S,1
03F0698S,03F0698N,9
01F0029S,05F0439S,15
03F1395S,03F1991S,1
01F0467S,01F0532S,136
03F1651S,03F2194S,3
01F0928S,01F3019S,9
01F2322N,03F2066N,1
01F0532N,01F0005N,2
03F1395N,05F0287S,1
03F0525N,01F0928S,1
01F0147S,01F0928S,1
01F0029S,01F0264S,72
01F0182S,01F2011S,4
01H0163S,01F1802S,3
03F0158S,03F2152S,2
01H0174N,01F1045S,1
01F3286N,01F2930N,98
01F1802N,01F1045N,2
03F1710N,01H0579N,1
03F0996S,01H0174N,1
01F0099N,01F0017N,129
03F1161N,01F0664N,3
03F2306N,03F1941N,2
03F0846N,01F0509N,27
01F3686S,03F3588N,2
01F0376N,03F0525S,15
03F3854N,01F3286N,52
03F2985N,03F0338N,1
03F0559S,01F1123S,11
01F2827S,01F3227S,73
03F1257N,01H0200N,2
03F1991S,03F4232S,1
03F4259N,03F2747N,2
01F0061S,03F2129S,3
03F3187S,01F3366S,7
03F2535S,03F3187S,1
01F2156N,01F2089N,353
01F2827S,03F3496S,2
01F1572S,03F2152S,1
01F0005S,01F0005S,2300
01F0099S,05F0287S,10
01F3525N,01F0233N,2
03F0498N,01F0182S,2
01F1389S,03F2079S,3
01F3640N,03F1051N,2
03F0116N,03F3743S,1
03F0337S,03F2194S,1
01F2011S,01F2714S,18
01F0750N,01F1725S,1
01F3640N,01F2714N,8
01F1465S,03F1739S,12
03F1051S,03F2985S,2
